cep,latitude,longitude,ano_2015,ano_2016,ano_2017,ano_2018,ano_2019,ano_2020,ano_2021,ano_2022,ano_2023,ano_2024,media,maximo,minimo,soma,tendencia,casos_previstos_2026,risco_2026
19914110,-22.970233916422927,-49.85866897949276,0,0,0,0,0,0,2,3,4,2,1.1,4,0,11,2,6.676799721601128,MEDIO
19915683,-22.95532820777778,-49.862971457777775,0,0,0,0,0,0,0,0,1,6,0.7,6,0,7,6,6.654941415303256,MEDIO
19915385,-22.95183415719697,-49.87242225340909,0,0,0,0,0,0,4,0,3,3,1.0,4,0,10,3,6.628765955718336,MEDIO
19901130,-22.9925657829191,-49.87432890246101,0,0,0,0,3,0,2,4,9,1,1.9,9,0,19,1,6.619745217329182,MEDIO
19913451,-22.98002149583333,-49.84847474666667,0,0,0,0,1,0,0,0,2,8,1.1,8,0,11,8,6.60753423719143,MEDIO
19911724,-22.97185643615036,-49.86553238449275,0,0,0,0,6,0,0,0,4,5,1.5,6,0,15,5,6.593081195094783,MEDIO
19904630,-22.968142941666667,-49.90207298333333,0,0,0,0,0,0,1,2,4,2,0.9,4,0,9,2,6.575222086072245,MEDIO
19902420,-22.99552165257576,-49.86235096520202,0,0,0,1,0,0,1,2,5,4,1.3,5,0,13,4,6.564678472741434,MEDIO
19904622,-23.0171002299359,-49.88561425147436,0,0,0,0,1,0,0,3,6,7,1.7,7,0,17,7,6.563234659881346,MEDIO
19911615,-22.965742528333333,-49.87012100333334,0,0,0,0,2,0,1,1,5,2,1.1,5,0,11,2,6.516826562249662,MEDIO
19904575,-23.013733895,-49.89788164,0,0,0,0,0,0,8,1,5,3,1.7,8,0,17,3,6.512192668684293,MEDIO
19913570,-22.982233682222223,-49.85147189777778,0,0,0,0,0,0,1,1,5,4,1.1,5,0,11,4,6.462525130989889,MEDIO
19900270,-22.97288414,-49.86840778166667,0,0,0,0,3,0,0,1,5,3,1.2,5,0,12,3,6.462144677874676,MEDIO
19904300,-22.998905693005952,-49.87913718802083,0,0,0,1,2,0,1,2,10,3,1.9,10,0,19,3,6.452635450286834,MEDIO
19913100,-22.987665081666663,-49.85307486166667,0,0,0,0,3,0,1,6,4,2,1.6,6,0,16,2,6.397081811017415,MEDIO
19904265,-23.01308078607134,-49.88374319281655,0,0,0,0,0,1,6,1,8,6,2.2,8,0,22,6,6.397038627823349,MEDIO
19912130,-22.97987905892857,-49.86007307083333,0,0,0,0,2,0,1,2,1,7,1.3,7,0,13,7,6.394002971341251,MEDIO
19906425,-22.981612378478665,-49.88104006834261,1,0,0,0,2,0,6,7,6,5,2.7,7,0,27,4,6.388212517864304,MEDIO
19907560,-22.96834661666667,-49.886003556944445,0,0,0,0,2,0,1,2,3,3,1.1,3,0,11,3,6.3828544339176005,MEDIO
19911225,-22.961445475,-49.87823609583334,0,0,0,0,3,0,0,1,2,1,0.7,3,0,7,1,6.369006218135837,MEDIO
19905150,-22.99568998838352,-49.87975096894796,0,0,0,0,4,0,1,0,6,2,1.3,6,0,13,2,6.346481645216045,MEDIO
19905455,-23.00285684416667,-49.8843459239394,0,0,0,1,1,0,0,2,4,6,1.4,6,0,14,6,6.274693724706594,MEDIO
19915070,-22.962026732,-49.863721348,0,0,0,0,1,0,0,1,1,5,0.8,5,0,8,5,6.256071351335777,MEDIO
19902640,-22.99803644146825,-49.86466504970238,0,0,0,0,1,1,3,0,9,8,2.2,9,0,22,8,6.243557672925817,MEDIO
19915040,-22.964336731,-49.86189508,0,0,0,1,0,0,1,0,2,2,0.6,2,0,6,2,6.234778326180276,MEDIO
19911078,-22.96705808333333,-49.8769502,0,0,0,0,2,1,1,0,2,4,1.0,4,0,10,4,6.20062679153034,MEDIO
19907470,-22.97204073619048,-49.884821384206354,0,0,0,1,0,0,3,2,7,2,1.5,7,0,15,2,6.198494990070685,MEDIO
19913556,-22.9809822,-49.8456178,0,0,0,0,0,0,0,2,2,5,0.9,5,0,9,5,6.17365217106817,MEDIO
19909050,-22.96722302863636,-49.90405114863636,0,0,0,0,0,0,3,1,4,2,1.0,4,0,10,2,6.144430144171565,MEDIO
19904623,-23.0170532,-49.8854851,0,0,0,0,1,1,0,1,3,7,1.3,7,0,13,7,6.140219758584863,MEDIO
19905145,-22.995090654545454,-49.87920884936869,0,0,0,0,3,0,4,1,6,3,1.7,6,0,17,3,6.139429443826884,MEDIO
